mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
18,6,225,105,3121,16.5,73,1,plymouth valiant
18,6,232,100,2945,16,73,1,amc hornet
23,6,198,95,2904,16,73,1,plymouth duster
11,8,400,150,4997,14,73,1,chevrolet impala
13,8,360,170,4654,13,73,1,plymouth custom suburb
18,6,232,100,2789,15,73,1,amc gremlin
21,4,140,72,2401,19.5,73,1,chevrolet vega
18,3,70,90,2124,13.5,73,3,maxda rx3
21,6,155,107,2472,14,73,1,mercury capri v6
15,8,350,145,4082,13,73,1,chevrolet monte carlo s
29,4,68,49,1867,19.5,73,2,fiat 128
20,4,114,91,2582,14,73,2,audi 100ls
15,8,318,150,3399,11,73,1,dodge dart custom
20,6,156,122,2807,13.5,73,3,toyota mark ii
20,6,198,95,3102,16.5,74,1,plymouth duster
19,6,232,100,2901,16,74,1,amc hornet
31,4,79,67,1950,19,74,3,datsun b210
32,4,71,65,1836,21,74,3,toyota corolla 1200
16,6,250,100,3781,17,74,1,chevrolet chevelle malibu classic
18,6,225,105,3613,16.5,74,1,plymouth satellite sebring
13,8,350,150,4699,14.5,74,1,buick century luxus (sw)
14,8,302,140,4638,16,74,1,ford gran torino (sw)
29,4,98,83,2219,16.5,74,2,audi fox
26,4,97,78,2300,14.5,74,2,opel manta
32,4,83,61,2003,19,74,3,datsun 710
24,4,90,75,2108,15.5,74,2,fiat 128
24,4,120,97,2489,15,74,3,honda civic
31,4,79,67,2000,16,74,2,fiat x1.9
18,6,250,105,3459,16,75,1,chevrolet nova
15,6,250,72,3158,19.5,75,1,ford maverick
15,8,350,145,4440,14,75,1,chevrolet bel air
14,8,351,148,4657,13.5,75,1,ford ltd
16,6,250,105,3897,18.5,75,1,chevroelt chevelle malibu
18,6,225,95,3785,19,75,1,plymouth fury
20,8,262,110,3221,13.5,75,1,chevrolet monza 2+2
29,4,97,75,2171,16,75,3,toyota corolla
20,6,232,100,2914,16,75,1,amc gremlin
24,4,134,96,2702,13.5,75,3,toyota corona
24,4,119,97,2545,17,75,3,datsun 710
29,4,90,70,1937,14,75,2,volkswagen rabbit
23,4,115,95,2694,15,75,2,audi 100ls
22,4,121,98,2945,14.5,75,2,volvo 244dl
33,4,91,53,1795,17.5,75,3,honda civic cvcc
25,4,116,81,2220,16.9,76,2,opel 1900
26,4,98,79,2255,17.7,76,1,dodge colt
17.5,8,305,140,4215,13,76,1,chevrolet chevelle malibu classic
15.5,8,304,120,3962,13.9,76,1,amc matador
22,6,225,100,3233,15.4,76,1,plymouth valiant
24,6,200,81,3012,17.6,76,1,ford maverick
29,4,85,52,2035,22.2,76,1,chevrolet chevette
29,4,90,70,1937,14.2,76,2,vw rabbit
20,6,225,100,3651,17.7,76,1,dodge aspen se
18.5,6,250,110,3645,16.2,76,1,pontiac ventura sj
29.5,4,97,71,1825,12.2,76,2,volkswagen rabbit
28,4,97,75,2155,16.4,76,3,toyota corolla
20,4,130,102,3150,15.7,76,2,volvo 245
19,4,120,88,3270,21.9,76,2,peugeot 504
16.5,6,168,120,3820,16.7,76,2,mercedes-benz 280s
13,8,350,145,4055,12,76,1,chevy c10
13,8,318,150,3755,14,76,1,dodge d100
30,4,111,80,2155,14.8,77,1,buick opel isuzu deluxe
25.5,4,122,96,2300,15.5,77,1,plymouth arrow gs
17.5,8,305,145,3880,12.5,77,1,chevrolet caprice classic
15.5,8,318,145,4140,13.7,77,1,dodge monaco brougham
17.5,6,250,110,3520,16.4,77,1,chevrolet concours
19,6,225,100,3630,17.7,77,1,plymouth volare custom
16,8,400,180,4220,11.1,77,1,pontiac grand prix lj
15.5,8,400,190,4325,12.2,77,1,chrysler cordoba
29,4,97,78,1940,14.5,77,2,volkswagen rabbit custom
26,4,97,75,2265,18.2,77,3,toyota corolla liftback
30.5,4,98,63,2051,17,77,1,chevrolet chevette
30,4,97,67,1985,16.4,77,3,subaru dl
22,6,146,97,2815,14.5,77,3,datsun 810
21.5,3,80,110,2720,13.5,77,3,mazda rx-4
36.1,4,98,66,1800,14.4,78,1,ford fiesta
39.4,4,85,70,2070,18.6,78,3,datsun b210 gx
19.9,8,260,110,3365,15.5,78,1,oldsmobile cutlass salon brougham
20.2,8,302,139,3570,12.8,78,1,mercury monarch ghia
20.5,6,200,95,3155,18.2,78,1,chevrolet malibu
25.1,4,140,88,2720,15.4,78,1,ford fairmont (man)
19.4,6,232,90,3210,17.2,78,1,amc concord
20.8,6,200,85,3070,16.7,78,1,mercury zephyr
18.1,6,258,120,3410,15.1,78,1,amc concord d/l
17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo)
17.5,8,318,140,4080,13.7,78,1,dodge magnum xe
27.5,4,134,95,2560,14.2,78,3,toyota corona
30.9,4,105,75,2230,14.5,78,1,dodge omni
23.2,4,156,105,2745,16.7,78,1,plymouth sapporo
23.9,4,119,97,2405,14.9,78,3,datsun 200-sx
17,6,163,125,3140,13.6,78,2,volvo 264gl
16.2,6,163,133,3410,15.8,78,2,peugeot 604sl
29.5,4,98,68,2135,16.6,78,3,honda accord lx
19.8,6,200,85,2990,18.2,79,1,mercury zephyr 6
20.2,6,232,90,3265,18.2,79,1,amc concord dl 6
17,8,305,130,3840,15.4,79,1,chevrolet caprice classic
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis
16.9,8,350,155,4360,14.9,79,1,buick estate wagon (sw)
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw)
31.9,4,89,71,1925,14,79,2,vw rabbit custom
35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom
25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d
27.2,4,141,71,3190,24.8,79,2,peugeot 504
34.2,4,105,70,2200,13.2,79,1,plymouth horizon
31.8,4,85,65,2020,19.2,79,3,datsun 210
28.4,4,151,90,2670,16,79,1,buick skylark limited
26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham
41.5,4,98,76,2144,14.7,80,2,vw rabbit
32.1,4,98,70,2120,15.5,80,1,chevrolet chevette
28,4,151,90,2678,16.5,80,1,chevrolet citation
24.3,4,151,90,3003,20.1,80,1,amc concord
34.3,4,97,78,2188,15.8,80,2,audi 4000
31.3,4,120,75,2542,17.5,80,3,mazda 626
32.2,4,108,75,2265,15.2,80,3,toyota corolla
27.9,4,156,105,2800,14.4,80,1,dodge colt
44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel)
36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel)
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl
33.8,4,97,67,2145,18,80,3,subaru dl
32.7,6,168,132,2910,11.4,80,3,datsun 280-zx
35,4,122,88,2500,15.1,80,2,triumph tr7 coupe
32.4,4,107,72,2290,17,80,3,honda accord
26.6,4,151,84,2635,16.4,81,1,buick skylark
23.5,6,173,110,2725,12.6,81,1,chevrolet citation
39.1,4,79,58,1755,16.9,81,3,toyota starlet
35.1,4,81,60,1760,16.1,81,3,honda civic 1300
37,4,85,65,1975,19.4,81,3,datsun 210 mpg
34.1,4,91,68,1985,16,81,3,mazda glc 4
34.4,4,98,65,2045,16.2,81,1,ford escort 4w
33,4,105,74,2190,14.2,81,2,volkswagen jetta
33.7,4,107,75,2210,14.4,81,3,honda prelude
32.9,4,119,100,2615,14.8,81,3,datsun 200sx
28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel
25.4,6,168,116,2900,12.6,81,3,toyota cressida
22.4,6,231,110,3415,15.8,81,1,buick century
20.2,6,200,88,3060,17.1,81,1,ford granada gl
28,4,112,88,2605,19.6,82,1,chevrolet cavalier
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door
29,4,135,84,2525,16,82,1,dodge aries se
24,4,140,92,2865,16.4,82,1,ford fairmont futura
37,4,91,68,2025,18.2,82,3,mazda glc custom l
38,4,105,63,2125,14.7,82,1,plymouth horizon miser
36,4,120,88,2160,14.5,82,3,nissan stanza xe
34,4,108,70,2245,16.9,82,3,toyota corolla
32,4,91,67,1965,15.7,82,3,honda civic (auto)
25,6,181,110,2945,16.4,82,1,buick century limited
26,4,156,92,2585,14.5,82,1,chrysler lebaron medallion
32,4,144,96,2665,13.9,82,3,toyota celica gt
27,4,151,90,2950,17.3,82,1,chevrolet camaro
44,4,97,52,2130,24.6,82,2,vw pickup
28,4,120,79,2625,18.6,82,1,ford ranger
